frame,time_sec,lane1_in,lane2_in,lane1_out,lane2_out,lane1_queue,lane2_queue
73,2.44,3,2,5,3,1,0
74,2.47,3,2,5,3,1,0
75,2.5,3,2,5,3,1,0
76,2.54,3,2,5,3,1,0
77,2.57,3,2,5,3,1,0
78,2.6,3,2,5,3,1,0
79,2.64,3,2,6,3,1,0
80,2.67,3,2,6,3,0,0
81,2.7,3,2,6,3,0,0
82,2.74,4,2,6,3,1,0
83,2.77,4,2,6,3,1,0
84,2.8,4,2,6,3,1,0
85,2.84,4,2,6,3,1,1
86,2.87,4,2,6,3,1,1
87,2.9,4,2,6,3,2,1
88,2.94,4,2,6,3,2,1
89,2.97,4,2,7,4,1,0
90,3.0,4,2,7,4,2,0
91,3.04,4,2,7,4,2,0
92,3.07,4,2,7,4,1,0
93,3.1,4,2,7,4,1,0
94,3.14,4,2,7,4,1,0
95,3.17,4,2,7,4,1,0
96,3.2,4,2,7,4,1,1
97,3.24,4,2,7,4,1,1
98,3.27,4,2,7,4,1,1
99,3.3,4,2,8,4,0,1
100,3.34,4,2,8,5,0,0
101,3.37,4,2,8,5,1,0
102,3.4,4,2,8,5,2,0
103,3.44,4,2,8,5,2,0
104,3.47,4,2,8,5,2,0
105,3.5,4,2,8,5,2,0
106,3.54,4,2,8,5,2,0
107,3.57,4,2,9,5,1,0
108,3.6,4,2,9,5,1,0
109,3.64,4,2,9,5,1,0
110,3.67,4,2,10,5,0,0
111,3.7,4,2,10,5,0,0
112,3.74,4,2,10,5,0,0
113,3.77,4,2,10,5,0,0
114,3.8,4,2,10,5,0,0
115,3.84,4,2,10,5,0,0
116,3.87,4,2,10,5,0,0
117,3.9,4,2,10,5,0,0
118,3.94,4,2,10,5,0,0
119,3.97,4,2,10,5,0,0
120,4.0,4,2,10,5,0,0
121,4.04,4,2,10,5,0,0
122,4.07,4,2,10,5,1,0
123,4.1,4,2,10,5,1,0
124,4.14,4,2,10,5,1,0
125,4.17,4,2,10,5,1,0
126,4.2,4,2,11,5,0,0
127,4.24,4,2,11,5,0,0
128,4.27,4,2,11,5,0,1
129,4.3,4,2,11,5,0,1
130,4.34,4,2,11,5,0,1
131,4.37,4,2,11,6,0,0
132,4.4,4,2,11,6,1,0
133,4.44,4,2,11,6,1,0
134,4.47,4,2,11,6,1,0
135,4.5,4,2,11,6,1,0
136,4.54,4,2,11,6,1,0
137,4.57,4,2,11,6,1,0
138,4.6,4,2,11,6,1,0
139,4.64,4,2,11,6,1,0
140,4.67,4,2,11,6,1,0
141,4.7,4,2,11,6,1,0
142,4.74,4,2,12,6,0,0
143,4.77,4,2,12,6,0,0
144,4.8,4,2,12,6,0,0
145,4.84,4,2,12,6,0,0
146,4.87,4,2,12,6,0,0
147,4.9,4,2,12,6,0,0
148,4.94,4,2,12,6,0,0
149,4.97,4,2,12,6,1,0
150,5.0,4,2,12,6,1,0
151,5.04,4,2,12,6,1,0
152,5.07,4,2,12,6,1,0
153,5.11,4,2,13,6,0,0
154,5.14,4,2,13,6,0,0
155,5.17,4,2,13,6,0,0
156,5.21,4,2,13,6,0,0
157,5.24,4,2,13,6,0,0
158,5.27,4,2,13,6,0,0
159,5.31,4,2,13,6,0,0
160,5.34,4,2,13,6,0,0
